Parámetro,Valor,Tiempo (s),Objetivo,Nodos,Brecha (%)
mip.strategy.nodeselect,0.0,128.7174837589264,299970.99994999997,0,0.0
mip.strategy.nodeselect,1.0,125.51268935203552,299970.99994999997,0,0.0
mip.strategy.nodeselect,2.0,125.11800074577332,299970.99994999997,0,0.0
mip.strategy.nodeselect,3.0,125.56002688407898,299970.99994999997,0,0.0
mip.strategy.variableselect,-1.0,110.29457664489746,299970.99994999997,0,0.0
mip.strategy.variableselect,0.0,128.72379398345947,299970.99994999997,0,0.0
mip.strategy.variableselect,1.0,123.01996445655823,299970.99994999997,0,0.0
mip.strategy.variableselect,2.0,123.42903327941895,299970.99994999997,0,0.0
mip.strategy.variableselect,3.0,121.76391768455505,299970.99994999997,0,0.0
mip.strategy.variableselect,4.0,126.1390380859375,299970.99994999997,0,0.0
preprocessing.presolve,0.0,368.67111015319824,299970.9999500001,0,0.0
preprocessing.presolve,1.0,125.71100163459778,299970.99994999997,0,0.0
mip.strategy.heuristiceffort,0.0,13591.366506814957,299970.99994999997,1686,0.0
mip.strategy.heuristiceffort,0.5,124.82599925994873,299970.99994999997,0,0.0
mip.strategy.heuristiceffort,1.0,124.07746839523315,299970.99994999997,0,0.0
mip.strategy.heuristiceffort,2.0,125.10435962677002,299970.99994999997,0,0.0
